,Option_type,Ask,Bid,Option_price,Stock_price,Strike_price,Volatility,Volume,Time_to_maturity,Implied_volatility
0,1,0.2,0.0,0.09,79.54,45.0,0.286562991,4,0.123287671,0.763674238
1,1,0.15,0.0,0.1,72.1,50.0,0.396489914,1,0.095890411,0.578129219
2,1,0.3,0.0,0.05,82.05,55.0,0.273100722,2,0.117808219,0.5683636910000001
3,1,0.35,0.2,0.31,70.55,60.0,0.372802809,2,0.08219178099999999,0.42188078100000004
4,1,0.9,0.7,0.85,70.55,65.0,0.372802809,16,0.08219178099999999,0.363043479
5,1,2.45,2.15,2.32,70.55,70.0,0.372802809,25,0.08219178099999999,0.332526206
6,1,5.6,5.1,5.2,70.55,75.0,0.372802809,3,0.08219178099999999,0.33570000200000005
7,1,14.8,14.1,14.5,70.55,85.0,0.372802809,20,0.08219178099999999,0.448735981
8,1,2.05,1.7,1.92,70.55,65.0,0.35122506700000006,2,0.15616438400000002,0.392828337
9,1,3.2,2.75,2.9,72.54,70.0,0.354231303,11,0.16164383599999999,0.30786825
10,1,0.15,0.05,0.17,70.55,35.0,0.311514946,24,0.331506849,0.572269902
11,1,0.15,0.05,0.6,79.4,40.0,0.250407952,3,0.37808219200000004,0.503911211
12,1,0.75,0.5,0.73,75.25,50.0,0.291474457,1,0.347945205,0.464604963
13,1,0.85,0.65,1.0,78.15,55.0,0.283395999,2,0.35342465799999995,0.37671521700000005
14,1,2.0,1.75,1.8,70.55,60.0,0.311514946,24,0.331506849,0.38794557399999996
15,1,3.4,3.0,3.2,70.55,65.0,0.311514946,1,0.331506849,0.369024865
16,1,4.7,4.1,4.59,72.54,70.0,0.308823328,5,0.334246575,0.307135835
17,1,7.8,7.0,7.11,71.86,75.0,0.304614468,2,0.342465753,0.315192395
18,1,11.0,10.2,10.7,71.86,80.0,0.304614468,1,0.342465753,0.282477878
19,1,0.9,0.45,0.6,71.86,40.0,0.282711559,1,0.589041096,0.512700186
20,1,3.0,2.45,2.9,72.54,60.0,0.283965625,1,0.583561644,0.356573817
21,1,6.3,5.7,5.9,72.54,70.0,0.283965625,10,0.583561644,0.30762411100000003
22,1,9.4,8.5,9.1,72.1,75.0,0.284591445,1,0.594520548,0.314337911
23,1,9.5,8.6,10.7,78.15,80.0,0.278007038,1,0.602739726,0.08643491699999999
24,1,0.85,0.0,0.55,61.68,55.0,0.514635533,92,0.120547945,0.599125103
25,1,0.9,0.4,0.6,65.64,60.0,0.31440357399999996,2,0.079452055,0.395513857
26,1,2.0,1.1,1.7,66.57,65.0,0.311533768,1,0.08493150699999999,0.3037179
